Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,0.199600,0.200201,0.109705,0.110012,0.110012,8412
2020-07-09,0.110270,0.149273,0.062864,0.091263,0.091263,5864
2020-07-10,0.091247,0.104638,0.045408,0.055206,0.055206,302
2020-07-11,0.055206,0.089824,0.023832,0.033257,0.033257,380
2020-07-12,0.033253,0.033525,0.018149,0.018416,0.018416,42
2020-07-13,0.018416,0.033218,0.011948,0.011982,0.011982,43
2020-07-14,0.012000,0.076397,0.011938,0.034327,0.034327,419
2020-07-15,0.034318,0.034480,0.010670,0.010735,0.010735,79
2020-07-16,0.010729,0.010755,0.009543,0.009627,0.009627,35
2020-07-17,0.009628,0.009658,0.009562,0.009590,0.009590,35
2020-07-18,0.009594,0.011825,0.009574,0.011774,0.011774,42
2020-07-19,0.011773,0.012238,0.011683,0.012207,0.012207,3
2020-07-20,0.012204,0.012259,0.012017,0.012101,0.012101,3
2020-07-21,0.012085,0.012598,0.012060,0.012538,0.012538,0
2020-07-22,0.012539,0.013466,0.012408,0.013425,0.013425,15
2020-07-23,0.013425,0.014205,0.013366,0.014057,0.014057,16
2020-07-24,0.014057,0.014647,0.013777,0.014281,0.014281,16
2020-07-25,0.014289,0.023642,0.014280,0.021632,0.021632,7
2020-07-26,0.021609,0.022503,0.021366,0.022039,0.022039,7
2020-07-27,0.022040,0.027120,0.022040,0.026395,0.026395,1
2020-07-28,0.026366,0.026715,0.025244,0.025959,0.025959,1
2020-07-29,0.025965,0.026080,0.012785,0.013731,0.013731,16245
2020-07-30,0.013738,0.015127,0.011661,0.013002,0.013002,4780
2020-07-31,0.013002,0.016213,0.011396,0.013182,0.013182,3566
2020-08-01,0.013162,0.019953,0.011751,0.015488,0.015488,7811
2020-08-02,0.015456,0.020309,0.011787,0.017500,0.017500,31938
2020-08-03,0.017500,0.029047,0.014121,0.017568,0.017568,33961
2020-08-04,0.017572,0.041203,0.016770,0.036557,0.036557,55865
2020-08-05,0.036517,0.090068,0.020063,0.049133,0.049133,222739
2020-08-06,0.049133,0.099428,0.016446,0.054670,0.054670,317020
