,Date,Open,High,Low,Close,Adj Close,Volume
1,14/8/2020,0.086577,0.086577,0.059597,0.065645,0.065645,118988161
2,15/8/2020,0.066077,0.069509,0.048985,0.050964,0.050964,36213441
3,16/8/2020,0.051438,0.069508,0.048064,0.060847,0.060847,33023213
4,17/8/2020,0.060847,0.065073,0.052525,0.053999,0.053999,11686493
5,18/8/2020,0.053784,0.06099,0.050675,0.0517,0.0517,7401293
6,19/8/2020,0.05169,0.05715,0.048098,0.052095,0.052095,7375433
7,20/8/2020,0.052095,0.057325,0.0508,0.053648,0.053648,7332475
8,21/8/2020,0.053644,0.053738,0.044235,0.044235,0.044235,5121097
9,22/8/2020,0.044395,0.049011,0.040692,0.046011,0.046011,4347394
10,23/8/2020,0.04599,0.048237,0.041965,0.044007,0.044007,3114426
11,24/8/2020,0.043902,0.053543,0.042178,0.051299,0.051299,7868186
12,25/8/2020,0.050895,0.056846,0.045769,0.04808,0.04808,5842509
13,26/8/2020,0.04808,0.058794,0.047125,0.058101,0.058101,8339238
14,27/8/2020,0.058322,0.075067,0.054466,0.073708,0.073708,34658386
15,28/8/2020,0.074216,0.082307,0.069223,0.069642,0.069642,25598530
16,29/8/2020,0.069658,0.07443,0.065899,0.072509,0.072509,11274342
17,30/8/2020,0.072883,0.073944,0.064741,0.066642,0.066642,9422027
18,31/8/2020,0.066913,0.078124,0.066913,0.070184,0.070184,13825613
19,1/9/2020,0.070168,0.070872,0.059587,0.059901,0.059901,14081069
20,2/9/2020,0.059742,0.060859,0.051136,0.059072,0.059072,10893388
21,3/9/2020,0.058932,0.059548,0.043842,0.044335,0.044335,5884472
22,4/9/2020,0.043963,0.04749,0.038952,0.045431,0.045431,5619298
23,5/9/2020,0.045298,0.047044,0.035231,0.037567,0.037567,4072606
24,6/9/2020,0.037562,0.042555,0.033405,0.040924,0.040924,4407990
25,7/9/2020,0.040926,0.041152,0.033636,0.037924,0.037924,2943076
26,8/9/2020,0.03858,0.058386,0.036971,0.04985,0.04985,23080884
27,9/9/2020,0.049886,0.056676,0.046424,0.048329,0.048329,16462247
28,10/9/2020,0.048329,0.053503,0.047253,0.049563,0.049563,8172980
29,11/9/2020,0.049552,0.054506,0.046386,0.051795,0.051795,8374072
30,12/9/2020,0.05178,0.05178,0.047686,0.049343,0.049343,3413061
